#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
rapemeat.solutions,suspend,false,false,"CSAM, Online Harassment, Explicit Content, Hate Speech",false
rassilni.com,suspend,false,false,Hate Speech,false
rdrama.cc,suspend,false,false,"Online Harassment, Queerphobia, Hate Speech",false
refusal.biz,suspend,false,false,"CSAM, Explicit Content, Hate Speech",false
repl.co,suspend,false,false,"Spam, Service Abuse",false
republic.red,suspend,false,false,"Queerphobia, Disinformation, Hate Speech",false
rojogato.com,suspend,false,false,"Online Harassment, Hate Speech",false
rot.gives,suspend,false,false,"CSAM, Explicit Content, Hate Speech",false
ryona.agency,suspend,false,false,"Queerphobia, Hate Speech",false
schwartzwelt.xyz,suspend,false,false,Hate Speech,false
seal.cafe,suspend,false,false,"Online Harassment, Queerphobia, Hate Speech",false
shitpost.cloud,suspend,false,false,"Online Harassment, Hate Speech",false
shitposter.club,suspend,false,false,Online Harassment,false
shitposter.world,suspend,false,false,Online Harassment,false
shortstacksran.ch,suspend,false,false,Hate Speech,false
shota.house,suspend,false,false,"CSAM, Explicit Content",false
shrimpposter.club,suspend,false,false,"Online Harassment, Hate Speech",false
sixguns.com,suspend,false,false,"Online Harassment, Disinformation",false
skinheads.social,suspend,false,false,Hate Speech,false
skippers-bin.com,suspend,false,false,"CSAM, Explicit Content, Hate Speech",false
sneed.social,suspend,false,false,"Queerphobia, Hate Speech",false
spinster.xyz,suspend,false,false,"Queerphobia, Hate Speech",false
springbo.cc,suspend,false,false,"Online Harassment, Queerphobia, Hate Speech",false
stereophonic.space,suspend,false,false,"Online Harassment, Hate Speech",false
strelizia.net,suspend,false,false,"CSAM, Hate Speech",false
tastingtraffic.net,suspend,false,false,"Spam, Queerphobia, Hate Speech",false
teci.world,suspend,false,false,Hate Speech,false
theblab.org,suspend,false,false,Hate Speech,false
truthsocial.co.in,suspend,false,false,Hate Speech,false
tsundere.love,suspend,false,false,"Online Harassment, Hate Speech",false
usualsuspects.lol,suspend,false,false,"Online Harassment, Queerphobia, Hate Speech",false
varishangout.net,suspend,false,false,"CSAM, Queerphobia, Explicit Content, Hate Speech",false
volk.network,suspend,false,false,Hate Speech,false
whinge.town,suspend,false,false,"Queerphobia, Hate Speech",false
whitewomen.dog,suspend,false,false,"CSAM, Explicit Content, Hate Speech",false
wideboys.org,suspend,false,false,"Online Harassment, Queerphobia, Hate Speech",false
wolfgirl.bar,suspend,false,false,"Online Harassment, Queerphobia, Hate Speech",false
yesmap.net,suspend,false,false,"CSAM, Explicit Content",false
yggdrasil.social,suspend,false,false,"Online Harassment, Queerphobia, Hate Speech",false
youjo.love,suspend,false,false,"CSAM, Misinformation, Online Harassment, Explicit Content, Hate Speech",false
